hedtsk_id	hed_task_name	match_type	cogpo_id	cogpo_label	cogpo_source	cogpo_def_chars	cogpo_entry_count	notes
hedtsk_affective_picture_viewing	Affective Picture Viewing Task	close	COGPO_00102	Subjective Emotional Picture Discrimination Paradigm	owl	269	2	Subjective Emotional Picture Discrimination is the rated-picture case; Passive Viewing Paradigm is the unrated one.
hedtsk_affective_priming	Affective Priming Task	none						CogPO has no priming class.
hedtsk_anti_saccade	Anti-Saccade Task	exact	COGPO_00047	Anti-Saccades Paradigm	owl	193	2	Same paradigm.
hedtsk_artificial_grammar_learning	Artificial Grammar Learning Task	none						No implicit-learning class in CogPO.
hedtsk_attention_network	Attention Network Task	related	COGPO_00059	Flanker Task Paradigm	owl	287		ANT is a cued flanker task; CogPO has Flanker Task and Posner Task but not their combination.
hedtsk_auditory_masking	Auditory Masking Task	related	COGPO_00090	Tone Monitor/Discrimination Paradigm	owl	276	1	Tone Monitor/Discrimination is the nearest class; masking thresholds are not a CogPO paradigm.
hedtsk_autobiographical_memory	Autobiographical Memory Task	close	COGPO_00055	Episodic Recall Paradigm	owl	489	1	Episodic Recall names autobiographical recall as its typical case.
hedtsk_balloon_analog_risk	Balloon Analog Risk Task	related	COGPO_00081	Reward Task Paradigm	owl	182		Falls in the Reward Task class; no risk-taking paradigm in CogPO.
hedtsk_biological_motion_perception	Biological Motion Perception Task	related	COGPO_00044	Action Observation Paradigm	owl	110	1	Point-light displays are viewed moving body parts; Action Observation is broader.
hedtsk_body_ownership_illusion	Body Ownership Illusion Task	none						No body-representation class; Tactile Monitor/Discrimination is a stimulus class, not this paradigm.
hedtsk_cambridge_face_memory	Cambridge Face Memory Task	related	COGPO_00057	Face Monitor or Discrimination Paradigm	owl	345		Face identity memory falls in Face Monitor or Discrimination; no face-memory class.
hedtsk_causal_learning	Causal Learning Task	none						No contingency or causal-learning class in CogPO.
hedtsk_change_detection	Change Detection Task	related	COGPO_00099	Visual Distractor/Visual Attention Paradigm	owl	396		Visual Distractor/Visual Attention lists change detection among its examples.
hedtsk_contextual_cueing	Contextual Cueing Task	none						No implicit-learning or search class in CogPO.
hedtsk_continuous_performance	Continuous Performance Task	related	COGPO_00054	Go/No-Go Paradigm	owl	295		A sustained go/no-go; CogPO has no vigilance class.
hedtsk_corsi_block_tapping	Corsi Block-Tapping Task	none						No span or spatial working-memory class in CogPO.
hedtsk_delay_discounting	Delay Discounting Task	exact	COGPO_00046	Delay Discounting Task Paradigm	owl	254	1	Same paradigm.
hedtsk_delayed_match_to_sample	Delayed Match-to-Sample Task	exact	Delayed_Match_To_Sample_Paradigm	Delayed Match To Sample Paradigm	wiki	294	2	On the CogPO wiki; the OWL has only Delayed Non Match To Sample, the Catalog's DNMS variation.
hedtsk_dictator_game	Dictator Game Task	none						No economic-game or social-decision class in CogPO.
hedtsk_digit_span	Digit Span Task	none						No span class in CogPO.
hedtsk_digit_symbol_substitution	Digit Symbol Substitution Task	none						No processing-speed class in CogPO.
hedtsk_directed_forgetting	Directed Forgetting Task	none						No intentional-forgetting class; Encoding Paradigm is the nearest phase.
hedtsk_dot_probe	Dot-Probe Task	none						No attentional-bias class in CogPO.
hedtsk_effort_based_decision_making	Effort-Based Decision-Making Task	related	COGPO_00081	Reward Task Paradigm	owl	182		Falls in the Reward Task class; no effort paradigm in CogPO.
hedtsk_emotion_regulation	Emotion Regulation Task	none						No emotion-regulation class in CogPO.
hedtsk_emotional_stroop	Emotional Stroop Task	close	COGPO_00092	Stroop Task Paradigm	owl	294		CogPO folds Emotional Stroop into Stroop Task Paradigm.
hedtsk_eriksen_flanker	Eriksen Flanker Task	exact	COGPO_00059	Flanker Task Paradigm	owl	287	1	Same paradigm.
hedtsk_face_processing	Face Processing Task	close	COGPO_00057	Face Monitor or Discrimination Paradigm	owl	345	1	Passive face viewing is the first case of Face Monitor or Discrimination.
hedtsk_facial_emotion_recognition	Facial Emotion Recognition Task	close	COGPO_00057	Face Monitor or Discrimination Paradigm	owl	345		Emotion discrimination is one case of Face Monitor or Discrimination.
hedtsk_false_belief	False Belief Task	close	COGPO_00104	Theory of Mind Task Paradigm	owl	248	1	Theory of Mind Task Paradigm is the class; False Belief is its standard instance.
hedtsk_feeling_of_knowing	Feeling-of-Knowing Task	none						No metacognition class in CogPO.
hedtsk_finger_tapping	Finger Tapping Task	exact	COGPO_00056	Finger Tapping Paradigm	owl	150	1	Same paradigm.
hedtsk_fixate	Fixate Task	exact	COGPO_00053	Fixation Paradigm	owl	115	1	Same pseudo task.
hedtsk_free_recall	Free Recall Task	exact	COGPO_00061	Free Word List Recall Paradigm	owl	175	2	Same paradigm.
